EventID,SpeakerFullName,SpeakerSurname,SpeakerName,PersonID,OrgID
E-032,Anadea,Anadea,_,SAO-277,O-277
E-074,EPAM,EPAM,_,SEO-017,O-017
E-035,HRs,HRs,_,SHO-279,O-001
E-096,Intexsoft,Intexsoft,_,SIO-024,O-288
E-077,IPM,IPM,_,SIO-280,O-280
E-082,Grodno QAmunity,Grodno,QAmunity,SGO-278,O-278
E-002,Кадан Александр,Кадан,Александр,КА-0581,O-106
E-025,Котыня Александр,Котыня,Александр,КА-1890,O-001
E-037,Маркелов Александр,Маркелов,Александр,МА-0967,O-023
E-002,Пузыня Александр,Пузыня,Александр,ПА-1282,O-017
E-023,Пузыня Александр,Пузыня,Александр,ПА-1282,O-017
E-027,Пузыня Александр,Пузыня,Александр,ПА-1282,O-017
E-038,Пузыня Александр,Пузыня,Александр,ПА-1282,O-017
E-079,Пузыня Александр,Пузыня,Александр,ПА-1282,O-001
E-084,Пузыня Александр,Пузыня,Александр,ПА-1282,O-017
E-091,Пузыня Александр,Пузыня,Александр,ПА-1282,O-017
E-071,Рудяк Александр,Рудяк,Александр,РА-1346,O-023
E-075,Рудяк Александр,Рудяк,Александр,РА-1346,O-023
E-009,Сташкевич Александр,Сташкевич,Александр,СА-1512,O-001
E-034,Сташкевич Александр,Сташкевич,Александр,СА-1512,O-001
E-043,Сташкевич Александр,Сташкевич,Александр,СА-1512,O-001
E-028,Невмержицкая Александра,Невмержицкая,Александра,НА-1083,O-166
E-067,Никитевич Александра,Никитевич,Александра,НА-1899,O-042
E-083,Жингеровский Алексей,Жингеровский,Алексей,ЖА-1880,O-286
E-071,Кулик Алексей,Кулик,Алексей,КА-1894,O-285
E-067,Пискун Алексей,Пискун,Алексей,ПА-1215,O-042
E-030,Семенов Алексей,Семенов,Алексей,СА-1415,O-017
E-054,Голубович Анастасия,Голубович,Анастасия,ГА-0336,O-024
E-058,Голубович Анастасия,Голубович,Анастасия,ГА-0336,O-017
E-067,Шитикова Анастасия,Шитикова,Анастасия,ША-1775,O-024
E-070,Бабкин Андрей,Бабкин,Андрей,БА-0066,O-030
E-073,Бабкин Андрей,Бабкин,Андрей,БА-0066,O-030
E-008,Вовченко Андрей,Вовченко,Андрей,ВА-1870,O-017
E-097,Волчик Андрей,Волчик,Андрей,ВА-1872,O-017
E-049,Костин Андрей,Костин,Андрей,КА-1887,O-292
E-029,Красовский Андрей,Красовский,Андрей,КА-1891,O-001
E-024,Сакадынец Анна,Сакадынец,Анна,СА-1906,O-001
E-028,Мякишев Антон,Мякишев,Антон,МА-1076,O-214
E-041,Семенченко Антон,Семенченко,Антон,СА-1907,O-001
E-067,Зеленков Вадим,Зеленков,Вадим,ЗВ-1882,O-185
E-030,Пугачев Валерий,Пугачев,Валерий,ПВ-1903,O-017
E-010,Яворчук Василий,Яворчук,Василий,ЯВ-1823,O-019
E-036,Яворчук Василий,Яворчук,Василий,ЯВ-1823,O-019
E-049,Смирнова Вероника,Смирнова,Вероника,СВ-1909,O-292
E-030,Шкута Виталий,Шкута,Виталий,ШВ-1784,O-017
E-092,Заневский Виталия,Заневский,Виталия,ЗВ-1881,O-023
E-030,Клышевич Владимир,Клышевич,Владимир,КВ-1884,O-017
E-072,Клышевич Владимир,Клышевич,Владимир,КВ-1884,O-017
E-080,Стецко Владимир,Стецко,Владимир,СВ-1521,O-024
E-036,Шашков Владимир,Шашков,Владимир,ШВ-1741,O-238
E-076,Шашков Владимир,Шашков,Владимир,ШВ-1741,O-238
E-002,Скращук Владислав,Скращук,Владислав,СВ-1464,O-031
E-010,Скращук Владислав,Скращук,Владислав,СВ-1464,O-031
E-012,Скращук Владислав,Скращук,Владислав,СВ-1464,O-031
E-047,Скращук Владислав,Скращук,Владислав,СВ-1464,O-031
E-051,Скращук Владислав,Скращук,Владислав,СВ-1464,O-031
E-067,Скращук Владислав,Скращук,Владислав,СВ-1464,O-031
E-060,Бан Всеволод,Бан,Всеволод,БВ-1868,O-290
E-030,Кудинов Вячеслав,Кудинов,Вячеслав,КВ-1892,O-017
E-067,Реут Вячеслав,Реут,Вячеслав,РВ-1308,O-024
E-087,Реут Вячеслав,Реут,Вячеслав,РВ-1308,O-024
E-019,Третьяк Вячеслав,Третьяк,Вячеслав,ТВ-1580,O-016
E-030,Третьяк Вячеслав,Третьяк,Вячеслав,ТВ-1580,O-016
E-039,Фомичев Георгий,Фомичев,Георгий,ФГ-1912,O-001
E-002,Антоник Денис,Антоник,Денис,АД-1867,O-030
E-008,Влассенко Денис,Влассенко,Денис,ВД-1869,O-017
E-030,Влассенко Денис,Влассенко,Денис,ВД-1869,O-017
E-090,Денис Козлович,Козлович,Денис,ДК-1876,O-185
E-042,Михайлов Денис,Михайлов,Денис,МД-1036,O-001
E-057,Михайлов Денис,Михайлов,Денис,МД-1036,O-185
E-028,Веницианов Дмитрий,Веницианов,Дмитрий,ВД-0230,O-215
E-008,Воробей Дмитрий,Воробей,Дмитрий,ВД-1873,O-017
E-036,Гурский Дмитрий,Гурский,Дмитрий,ГД-1875,O-294
E-078,Живушко Дмитрий,Живушко,Дмитрий,ЖД-1879,O-017
E-030,Зарембо Дмитрий,Зарембо,Дмитрий,ЗД-0534,O-017
E-067,Кортелев Дмитрий,Кортелев,Дмитрий,КД-0759,O-031
E-020,Легеза Дмитрий,Легеза,Дмитрий,ЛД-0878,O-024
E-036,Матвеев Дмитрий,Матвеев,Дмитрий,МД-1897,O-295
E-017,Сафаров Дмитрий,Сафаров,Дмитрий,СД-1393,O-017
E-055,Сафаров Дмитрий,Сафаров,Дмитрий,СД-1393,O-017
E-058,Сафаров Дмитрий,Сафаров,Дмитрий,СД-1393,O-017
E-094,Сафаров Дмитрий,Сафаров,Дмитрий,СД-1393,O-017
E-092,Ярошевич Дмитрий,Ярошевич,Дмитрий,ЯД-1856,O-023
E-002,Дирвук Евгений,Дирвук,Евгений,ДЕ-0417,O-106
E-078,Курбаев Евгений,Курбаев,Евгений,КЕ-1895,O-017
E-030,Котов Егор,Котов,Егор,КЕ-1889,O-017
E-092,Малькевич Егор,Малькевич,Егор,МЕ-1896,O-023
E-064,Довнар Екатерина,Довнар,Екатерина,ДЕ-0429,O-001
E-064,Довнар Екатерина,Довнар,Екатерина,ДЕ-0429,O-017
E-064,Довнар Екатерина,Довнар,Екатерина,ДЕ-0429,O-023
E-064,Довнар Екатерина,Довнар,Екатерина,ДЕ-0429,O-027
E-064,Довнар Екатерина,Довнар,Екатерина,ДЕ-0429,O-042
E-067,Довнар Екатерина,Довнар,Екатерина,ДЕ-0429,O-017
E-089,Довнар Екатерина,Довнар,Екатерина,ДЕ-0429,O-017
E-004,Разова Елена,Разова,Елена,РЕ-1904,O-106
E-005,Разова Елена,Разова,Елена,РЕ-1904,O-106
E-044,Шиманчик Захар,Шиманчик,Захар,ШЗ-1768,O-001
E-040,Ильин Иван,Ильин,Иван,ИИ-0573,O-024
E-041,Катунов Иван,Катунов,Иван,КИ-1883,O-001
E-083,Хмурчик Иван,Хмурчик,Иван,ХИ-1913,O-023
E-033,Горин Игорь,Горин,Игорь,ГИ-1874,O-001
E-049,Колобов Игорь,Колобов,Игорь,КИ-1885,O-292
E-021,Захаров Илья,Захаров,Илья,ЗИ-0537,O-031
E-062,Захаров Илья,Захаров,Илья,ЗИ-0537,O-031
E-011,Кравчук Инна,Кравчук,Инна,КИ-0781,O-030
E-030,Кравчук Инна,Кравчук,Инна,КИ-0781,O-030
E-093,Будько Ирина,Будько,Ирина,БИ-0165,O-024
E-006,Мариева Ирина,Мариева,Ирина,МИ-0964,O-001
E-076,Новикова Ирина Васильевна,Новикова,Ирина,НИ-1900,O-293
E-098,Волошин Кирилл,Волошин,Кирилл,ВК-1871,O-284
E-001,Розов Кирилл,Розов,Кирилл,РК-1320,O-001
E-003,Розов Кирилл,Розов,Кирилл,РК-1320,O-001
E-056,Розов Кирилл,Розов,Кирилл,РК-1320,O-282
E-067,Розов Кирилл,Розов,Кирилл,РК-1320,O-282
E-015,Соколовский Кирилл,Соколовский,Кирилл,СК-1483,O-017
E-067,Соколовский Кирилл,Соколовский,Кирилл,СК-1483,O-017
E-095,Денис Козлович,Денис,Козлович,ДК-1876,O-185
E-061,Мулярчик Константин,Мулярчик,Константин,МК-1898,O-001
E-061,Мулярчик Константин,Мулярчик,Константин,МК-1898,O-017
E-061,Мулярчик Константин,Мулярчик,Константин,МК-1898,O-023
E-061,Мулярчик Константин,Мулярчик,Константин,МК-1898,O-024
E-061,Мулярчик Константин,Мулярчик,Константин,МК-1898,O-030
E-061,Мулярчик Константин,Мулярчик,Константин,МК-1898,O-034
E-061,Мулярчик Константин,Мулярчик,Константин,МК-1898,O-042
E-061,Мулярчик Константин,Мулярчик,Константин,МК-1898,O-106
E-061,Мулярчик Константин,Мулярчик,Константин,МК-1898,O-122
E-061,Мулярчик Константин,Мулярчик,Константин,МК-1898,O-196
E-061,Мулярчик Константин,Мулярчик,Константин,МК-1898,O-198
E-061,Мулярчик Константин,Мулярчик,Константин,МК-1898,O-201
E-030,Проборщук Максим,Проборщук,Максим,ПМ-1902,O-017
E-018,Роман Максим,Роман,Максим,РМ-1322,O-017
E-086,Дубаков Михаил,Дубаков,Михаил,ДМ-1877,O-291
E-036,Шегда Назарий,Шегда,Назарий,ШН-1749,O-210
E-053,Шегда Назарий,Шегда,Назарий,ШН-1749,O-185
E-065,Шегда Назарий,Шегда,Назарий,ШН-1749,O-185
E-075,Шегда Назарий,Шегда,Назарий,ШН-1749,O-128
E-075,Шегда Назарий,Шегда,Назарий,ШН-1749,O-287
E-081,Шегда Назарий,Шегда,Назарий,ШН-1749,O-128
E-088,Шегда Назарий,Шегда,Назарий,ШН-1749,O-128
E-049,Петроченко Наталья,Петроченко,Наталья,ПН-1901,O-292
E-030,Коротаев Олег,Коротаев,Олег,КО-0752,O-017
E-070,Шидловский Олег,Шидловский,Олег,ШО-1914,O-001
E-070,Шидловский Олег,Шидловский,Олег,ШО-1914,O-017
E-070,Шидловский Олег,Шидловский,Олег,ШО-1914,O-018
E-070,Шидловский Олег,Шидловский,Олег,ШО-1914,O-019
E-070,Шидловский Олег,Шидловский,Олег,ШО-1914,O-023
E-070,Шидловский Олег,Шидловский,Олег,ШО-1914,O-030
E-070,Шидловский Олег,Шидловский,Олег,ШО-1914,O-031
E-070,Шидловский Олег,Шидловский,Олег,ШО-1914,O-042
E-070,Шидловский Олег,Шидловский,Олег,ШО-1914,O-106
E-070,Шидловский Олег,Шидловский,Олег,ШО-1914,O-151
E-070,Шидловский Олег,Шидловский,Олег,ШО-1914,O-281
E-073,Шидловский Олег,Шидловский,Олег,ШО-1914,O-001
E-018,Леусик Ольга,Леусик,Ольга,ЛО-0884,O-017
E-063,Леусик Ольга,Леусик,Ольга,ЛО-0884,O-185
E-067,Леусик Ольга,Леусик,Ольга,ЛО-0884,O-017
E-075,Леусик Ольга,Леусик,Ольга,ЛО-0884,O-017
E-002,Зубков Павел,Зубков,Павел,ЗП-0556,O-023
E-010,Зубков Павел,Зубков,Павел,ЗП-0556,O-023
E-014,Зубков Павел,Зубков,Павел,ЗП-0556,O-023
E-022,Зубков Павел,Зубков,Павел,ЗП-0556,O-023
E-030,Зубков Павел,Зубков,Павел,ЗП-0556,O-023
E-030,Котиков Павел,Котиков,Павел,КП-1888,O-017
E-025,Сидорович Павел,Сидорович,Павел,СП-1908,O-001
E-031,Вашкевич Сергей,Вашкевич,Сергей,ВС-0219,O-106
E-045,Вашкевич Сергей,Вашкевич,Сергей,ВС-0219,O-106
E-050,Вашкевич Сергей,Вашкевич,Сергей,ВС-0219,O-106
E-036,Величко Сергей,Величко,Сергей,ВС-0226,O-005
E-028,Казючиц Сергей,Казючиц,Сергей,КС-0590,O-237
E-009,Коско Сергей,Коско,Сергей,КС-1886,O-001
E-034,Коско Сергей,Коско,Сергей,КС-1886,O-001
E-043,Коско Сергей,Коско,Сергей,КС-1886,O-001
E-085,Коско Сергей,Коско,Сергей,КС-1886,O-023
E-052,Кукла Сергей,Кукла,Сергей,КС-1893,O-283
E-002,Петров Сергей,Петров,Сергей,ПС-1192,O-106
E-007,Петров Сергей,Петров,Сергей,ПС-1192,O-106
E-066,Петров Сергей,Петров,Сергей,ПС-1192,O-106
E-046,Соболевский Станислав,Соболевский,Станислав,СС-1910,O-289
E-049,Сташкевич Станислав,Сташкевич,Станислав,СС-1911,O-292
E-067,Жукевич Татьяна,Жукевич,Татьяна,ЖТ-0506,O-017
E-068,Жукевич Татьяна,Жукевич,Татьяна,ЖТ-0506,O-017
E-069,Жукевич Татьяна,Жукевич,Татьяна,ЖТ-0506,O-017
E-067,Салейко Татьяна,Салейко,Татьяна,СТ-1383,O-042
E-067,Рукша Элеонора,Рукша,Элеонора,РЭ-1905,O-024
E-030,Белых Юрий,Белых,Юрий,БЮ-0120,O-017
E-026,Веденин Юрий,Веденин,Юрий,ВЮ-0222,O-001
E-002,Войтукевич Юрий,Войтукевич,Юрий,ВЮ-0258,O-123
E-010,Войтукевич Юрий,Войтукевич,Юрий,ВЮ-0258,O-123
E-013,Войтукевич Юрий,Войтукевич,Юрий,ВЮ-0258,O-123
E-016,Войтукевич Юрий,Войтукевич,Юрий,ВЮ-0258,O-123
E-067,Войтукевич Юрий,Войтукевич,Юрий,ВЮ-0258,O-123
E-076,Войтукевич Юрий,Войтукевич,Юрий,ВЮ-0258,O-123
E-059,Ерошенков Юрий,Ерошенков,Юрий,ЕЮ-1878,O-023
E-067,Ерошенков Юрий,Ерошенков,Юрий,ЕЮ-1878,O-023
E-048,Кая Юрий,Кая,Юрий,КЮ-0642,O-139
